ID,Time[s],0:SPI: MOSI data
0,0.913306,30
1,0.919304,00
2,0.919314,0B
3,0.919325,01
4,0.919335,2E
5,0.919347,02
6,0.919357,06
7,0.919368,03
8,0.919378,47
9,0.91939,04
10,0.9194,D2
11,0.919411,05
12,0.919421,01
13,0.919432,06
14,0.919442,28
15,0.919454,07
16,0.919464,8C
17,0.919475,08
18,0.919485,05
19,0.919497,09
20,0.919507,00
21,0.919518,0A
22,0.919528,00
23,0.919539,0B
24,0.919549,06
25,0.91956,0C
26,0.91957,00
27,0.919582,0D
28,0.919592,21
29,0.919603,0E
30,0.919613,62
31,0.919625,0F
32,0.919635,76
33,0.919646,10
34,0.919656,CA
35,0.919667,11
36,0.919677,83
37,0.919689,12
38,0.919699,11
39,0.91971,13
40,0.91972,22
41,0.919732,14
42,0.919742,F8
43,0.919753,15
44,0.919763,35
45,0.919774,16
46,0.919784,07
47,0.919796,17
48,0.919806,30
49,0.919817,18
50,0.919827,18
51,0.919838,19
52,0.919848,17
53,0.91986,1A
54,0.91987,6C
55,0.919881,1B
56,0.919891,43
57,0.919903,1C
58,0.919913,40
59,0.919924,1D
60,0.919934,91
61,0.919945,1E
62,0.919955,87
63,0.919967,1F
64,0.919977,6B
65,0.919988,20
66,0.919998,FB
67,0.92001,21
68,0.92002,56
69,0.920031,22
70,0.920041,10
71,0.920052,23
72,0.920062,E9
73,0.920073,24
74,0.920083,2A
75,0.920095,25
76,0.920105,00
77,0.920116,26
78,0.920126,1F
79,0.920138,27
80,0.920148,41
81,0.920159,28
82,0.920169,00
83,0.92018,29
84,0.92019,59
85,0.920202,2A
86,0.920212,7F
87,0.920223,2B
88,0.920234,3F
89,0.920245,2C
90,0.920255,81
91,0.920267,2D
92,0.920277,35
93,0.920288,2E
94,0.920298,09
95,0.920309,09
96,0.920319,01
97,0.920331,7E
98,0.920341,C0
99,0.920353,36
100,0.920365,F1
101,0.920375,FF
102,0.920386,39
103,7.99749,34
