ID,Time[s],0:SPI: MISO data
0,5.31047,0F
1,5.32537,0F
2,5.32541,0F
3,5.32551,0F
4,5.32555,0F
5,5.32564,0F
6,5.32568,0F
7,5.32578,0F
8,5.32582,0F
9,5.32591,0F
10,5.32595,0F
11,5.32605,0F
12,5.32609,0F
13,5.32618,0F
14,5.32623,0F
15,5.32632,0F
16,5.32636,0F
17,5.32645,0F
18,5.3265,0F
19,5.32659,0F
20,5.32663,0F
21,5.32672,0F
22,5.32677,0F
23,5.32686,0F
24,5.3269,0F
25,5.327,0F
26,5.32704,0F
27,5.32713,0F
28,5.32717,0F
29,5.32727,0F
30,5.32731,0F
31,5.3274,0F
32,5.32744,0F
33,5.32754,0F
34,5.32758,0F
35,5.32767,0F
36,5.32771,0F
37,5.32781,0F
38,5.32785,0F
39,5.32794,0F
40,5.32798,0F
41,5.32808,0F
42,5.32812,0F
43,5.32821,0F
44,5.32825,0F
45,5.32835,0F
46,5.32839,0F
47,5.32848,0F
48,5.32852,0F
49,5.32862,0F
50,5.32866,0F
51,5.32875,0F
52,5.32879,0F
53,5.32889,0F
54,5.32893,0F
55,5.32902,0F
56,5.32906,0F
57,5.32916,0F
58,5.3292,0F
59,5.32929,0F
60,5.32934,0F
61,5.32943,0F
62,5.32947,0F
63,5.32956,0F
64,5.32961,0F
65,5.3297,0F
66,5.32974,0F
67,5.32984,0F
68,5.32988,0F
69,5.32997,0F
70,5.33001,0F
71,5.33011,0F
72,5.33015,0F
73,5.33024,0F
74,5.33028,0F
75,5.33038,0F
76,5.33042,0F
77,5.33051,0F
78,5.33055,0F
79,5.33065,0F
80,5.33069,0F
81,5.33078,0F
82,5.33082,0F
83,5.33092,0F
84,5.33096,0F
85,5.33105,0F
86,5.33109,0F
87,5.33119,0F
88,5.33123,0F
89,5.33132,0F
90,5.33136,0F
91,5.33146,0F
92,5.3315,0F
93,5.33159,0F
94,5.33163,0F
95,5.33173,0F
96,5.33177,0F
97,5.33187,0F
98,5.33191,0F
99,5.332,0F
100,5.33208,00
101,5.33212,19
102,5.33227,0F
103,18.8191,0F
104,18.8192,0F
105,18.8193,0F
106,18.8193,0F
107,18.8194,0F
108,18.8194,0F
109,18.8195,0F
110,18.8195,0F
111,18.8196,0F
112,18.8196,0F
113,18.8197,0F
114,18.8197,0F
115,18.8198,0F
116,18.8198,0F
117,18.8199,0F
118,18.8199,0F
119,18.82,0F
120,18.82,0F
121,18.8201,0F
122,18.8201,0F
123,18.8202,0F
124,18.8267,0F
125,33.8204,0F
126,33.8206,0F
127,33.8206,0F
128,33.8207,0F
129,33.8207,0F
130,33.8208,0F
131,33.8208,0F
132,33.8209,0F
133,33.8209,0F
134,33.821,0F
135,33.821,0F
136,33.8211,0F
137,33.8211,0F
138,33.8212,0F
139,33.8212,0F
140,33.8213,0F
141,33.8213,0F
142,33.8214,0F
143,33.8214,0F
144,33.8215,0F
145,33.8216,0F
146,33.828,0F
147,48.8212,0F
148,48.8214,0F
149,48.8214,0F
150,48.8215,0F
151,48.8215,0F
152,48.8216,0F
153,48.8216,0F
154,48.8217,0F
155,48.8217,0F
156,48.8218,0F
157,48.8218,0F
158,48.8219,0F
159,48.8219,0F
160,48.822,0F
161,48.822,0F
162,48.8221,0F
163,48.8221,0F
164,48.8222,0F
165,48.8222,0F
166,48.8223,0F
167,48.8224,0F
168,48.8288,0F
