ID,Time[s],0:SPI: MOSI data
0,5.31047,30
1,5.32537,00
2,5.32541,0B
3,5.32551,01
4,5.32555,2E
5,5.32564,02
6,5.32568,06
7,5.32578,03
8,5.32582,47
9,5.32591,04
10,5.32595,D2
11,5.32605,05
12,5.32609,01
13,5.32618,06
14,5.32623,28
15,5.32632,07
16,5.32636,8C
17,5.32645,08
18,5.3265,05
19,5.32659,09
20,5.32663,00
21,5.32672,0A
22,5.32677,00
23,5.32686,0B
24,5.3269,06
25,5.327,0C
26,5.32704,00
27,5.32713,0D
28,5.32717,21
29,5.32727,0E
30,5.32731,62
31,5.3274,0F
32,5.32744,76
33,5.32754,10
34,5.32758,CA
35,5.32767,11
36,5.32771,83
37,5.32781,12
38,5.32785,11
39,5.32794,13
40,5.32798,22
41,5.32808,14
42,5.32812,F8
43,5.32821,15
44,5.32825,35
45,5.32835,16
46,5.32839,07
47,5.32848,17
48,5.32852,30
49,5.32862,18
50,5.32866,18
51,5.32875,19
52,5.32879,17
53,5.32889,1A
54,5.32893,6C
55,5.32902,1B
56,5.32906,43
57,5.32916,1C
58,5.3292,40
59,5.32929,1D
60,5.32934,91
61,5.32943,1E
62,5.32947,87
63,5.32956,1F
64,5.32961,6B
65,5.3297,20
66,5.32974,FB
67,5.32984,21
68,5.32988,56
69,5.32997,22
70,5.33001,10
71,5.33011,23
72,5.33015,E9
73,5.33024,24
74,5.33028,2A
75,5.33038,25
76,5.33042,00
77,5.33051,26
78,5.33055,1F
79,5.33065,27
80,5.33069,41
81,5.33078,28
82,5.33082,00
83,5.33092,29
84,5.33096,59
85,5.33105,2A
86,5.33109,7F
87,5.33119,2B
88,5.33123,3F
89,5.33132,2C
90,5.33136,81
91,5.33146,2D
92,5.3315,35
93,5.33159,2E
94,5.33163,09
95,5.33173,09
96,5.33177,00
97,5.33187,7E
98,5.33191,C0
99,5.332,36
100,5.33208,F1
101,5.33212,00
102,5.33227,39
103,18.8191,36
104,18.8192,7F
105,18.8193,11
106,18.8193,18
107,18.8194,00
108,18.8194,07
109,18.8195,0F
110,18.8195,A2
111,18.8196,47
112,18.8196,39
113,18.8197,5F
114,18.8197,D1
115,18.8198,A2
116,18.8198,B2
117,18.8199,11
118,18.8199,47
119,18.82,D1
120,18.82,A2
121,18.8201,4D
122,18.8201,8A
123,18.8202,35
124,18.8267,39
125,33.8204,36
126,33.8206,7F
127,33.8206,11
128,33.8207,18
129,33.8207,01
130,33.8208,07
131,33.8208,0F
132,33.8209,A2
133,33.8209,47
134,33.821,39
135,33.821,5F
136,33.8211,D1
137,33.8211,A3
138,33.8212,B2
139,33.8212,11
140,33.8213,47
141,33.8213,D1
142,33.8214,A2
143,33.8214,4D
144,33.8215,8A
145,33.8216,35
146,33.828,39
147,48.8212,36
148,48.8214,7F
149,48.8214,11
150,48.8215,18
151,48.8215,02
152,48.8216,07
153,48.8216,0E
154,48.8217,A2
155,48.8217,47
156,48.8218,39
157,48.8218,5F
158,48.8219,D1
159,48.8219,A0
160,48.822,F5
161,48.822,EE
162,48.8221,47
163,48.8221,D1
164,48.8222,A2
165,48.8222,4D
166,48.8223,8A
167,48.8224,35
168,48.8288,39
